
-------------------------------------------------------------------------

   Type    File   Event 
      0       55       4
      1       55      10
      5       55      10
      0       55      11
      1       55      19
      5       55      19
      0       55      22
      2       55      23
      0       55      24
      1       55      27
      5       55      27
      1       55      31
      4       55      41
      0       55      43
      0       55      50
      2       56      12
      0       56      14
      2       56      19
      0       56      32
      0       56      37
      1       56      46
      9       56      47
     3p       56      47
      3       56      47
      0       56      50
      8       57       1
      0       57       3
      2       57       9
      4       57       9
      2       57      10
      0       57      14
      1       57      28
      5       57      28
      2       57      36
      0       57      42
      2       57      47
      5       58       2
      1       58      18
      2       58      21
      2       58      23
      1       58      24
      8       58      24
      2       58      26
      4       58      26
      1       58      40
      0       58      43
      0       58      44
      1       58      46
      0       59       2
      5       59       3
      0       59       7
      2       59      13
      4       59      13
      3       59      16
      0       59      19
      0       59      22
      5       59      24
      1       59      28
      5       59      28
      2       59      30
      2       59      31
      2       59      36
      0       59      39
      0       59      41
      0       59      44
      2       59      45
      1       59      48
      8       59      48
      0       60       3
      2       60       6
      1       60       9
      8       60       9
      2       60      10
      2       60      18
      1       60      27
      5       60      27
      5       60      31
      7       60      31
      0       60      33
      3       60      43
      2       60      48
      4       60      48
      1       61       3
      5       61       3
      2       61       8
      2       61      10
      2       61      12
      2       61      18
      3       61      20
      2       61      21
      0       61      23
      0       61      29
      2       61      30
      1       61      39
      0       61      40
      1       61      43
      5       61      43
      2       61      45
      1       61      47
      5       61      48
      1       62       1
      5       62       1
      1       62       2
      2       62       3
      0       62       5
      2       62      10
      5       62      19
      7       62      19
      1       62      22
      0       62      23
      1       62      28
      5       62      28
      1       62      31
      8       62      31
      2       62      34
      4       62      37
      0       62      40
      0       62      46
      8       63       2
      1       63       4
      5       63      11
      0       63      12
      0       63      16
      0       63      20
      0       63      24
      1       63      27
      8       63      27
      0       63      28
      1       63      29
      5       63      29
      2       63      30
      2       63      38
      4       63      38
      0       63      40
      2       63      44
      4       63      44
      6       63      45
      0       63      46
      2       64       2
      2       64       5
      3       64      16
      2       64      17
      2       64      19
      2       64      22
      4       64      23
      8       64      23
      2       64      34
      2       64      38
      4       64      38
      2       64      39
      4       64      39
      0       64      42
      2       64      45
      4       64      45
      2       64      46
      2       65       1
      3       65      10
      2       65      14
      0       65      19
      2       65      22
      9       65      26
      3       65      26
      2       65      27
      5       65      33
      7       65      33
      0       65      42
      2       65      45
      2       65      46
      5       66       2
      0       66      13
      0       66      14
      2       66      17
      4       66      17
     3p       66      19
      3       66      19
      2       66      21
      4       66      21
      2       66      35
      5       66      36
      2       66      37
      2       66      42
      0       66      43
      2       66      44
      5       66      49
      2       66      50
      0       67      10
      2       67      11
      4       67      11
      5       67      12
      7       67      12
      2       67      16
      4       67      16
      0       67      17
      0       67      22
      0       67      25
      2       67      31
      5       67      32
      7       67      32
      5       67      40
      0       67      41
      1       67      44
      4       67      47
      1       68       2
      0       68       5
      0       68      10
      1       68      12
      5       68      12
      2       68      13
      2       68      18
      4       68      18
      0       68      21
      0       68      29
      3       68      30
      2       69       2
      4       69       2
      0       69       6
      2       69       7
      2       69      10
      0       69      11
      1       69      13
      0       69      14
      1       69      15
      5       69      15
      0       69      17
      2       69      20
      5       69      32
      2       69      36
      4       69      36
      1       69      37
      2       69      38
      2       69      43
      0       69      46
      0       70       4
      0       70      11
      0       70      13
      2       70      15
      4       70      15
      1       70      16
      5       70      16
      0       70      17
      0       70      21
      1       70      29
      2       70      31
      4       70      31
      6       70      32
      2       70      33
      4       70      33
      2       70      34
      0       70      36
      0       70      41
      0       70      45
      3       70      49
      0       71      12
      0       71      22
      1       71      25
      5       71      25
      1       71      28
      5       71      28
      0       71      30
      8       71      40
      0       71      44
      1       71      49
      3       72       1
      2       72       7
      2       72      11
      2       72      17
      2       72      19
      4       72      19
      1       72      22
      0       72      25
      2       72      33
      2       72      34
      2       72      35
      3       72      36
      2       72      38
      4       72      38
      0       72      39
      1       72      42
      3       72      45
      1       72      49
      0       73      13
      2       73      21
      2       73      22
      4       73      22
      3       73      29
      2       73      35
      0       73      39
      8       73      48
      2       74       3
      1       74       7
      5       74       7
      2       74      15
      1       74      16
      5       74      16
      2       74      19
      4       74      19
      0       74      21
      0       74      22
      3       74      25
      1       74      29
      2       74      31
      0       74      32
      0       74      35
      1       74      36
      0       74      39
      0       74      42
      0       74      43
      2       74      44
      2       74      47
      1       74      50
      5       74      50
      1       75       2
      2       75       7
      4       75       7
      0       75       9
      2       75      12
      0       75      17
      2       75      23
      0       75      25
      0       75      26
      3       75      34
      2       75      35
      0       75      36
      2       75      42
      1       75      45
      5       75      45
      0       75      46
      2       75      47
      4       75      47
      2       76       1
      1       76       9
      5       76       9
      2       76      12
      1       76      13
      1       76      18
      2       76      25
      4       76      25
      1       76      29
      0       76      31
      2       76      33
      4       76      33
      3       76      40
      2       76      49
      0       76      50
      4       77       1
      0       77       8
      2       77      16
      0       77      22
      0       77      28
      2       77      34
      4       77      34
      1       77      35
      5       77      35
      0       77      37
      4       77      39
      8       77      39
      0       77      40
      2       77      41
      0       77      44
      5       77      46
      0       77      47
      1       77      48
      1       78       1
      2       78       4
      8       78      10
      0       78      12
      5       78      16
      1       78      20
      0       78      21
      4       78      22
      8       78      22
      1       78      23
      5       78      23
      3       78      25
      2       78      28
      2       78      32
      0       78      34
      1       78      40
      8       78      40
      2       78      42
      1       79       2
      5       79       2
      5       79       4
      0       79       5
      0       79       9
      1       79      12
      5       79      12
      0       79      17
      2       79      21
      2       79      24
      4       79      24
      3       79      26
      0       79      28
      1       79      35
      0       79      39
      4       79      40
      8       79      40
      4       79      41
      2       79      49
      4       79      49
      0       79      50
      0       80       2
      2       80      10
      0       80      14
      0       80      22
      1       80      26
      5       80      26
      8       80      26
      7       80      28
      2       80      33
      5       80      37
      2       80      44
      2       80      49
      0       81       2
      2       81       3
      4       81       3
      2       81       8
      0       81      12
      0       81      14
      0       81      15
      0       81      18
      5       81      24
      8       81      24
      2       81      27
      4       81      27
      0       81      28
      5       81      35
      1       81      39
      2       81      41
      2       81      42
      4       81      42
      0       81      43
      1       81      46
      5       81      46
      0       81      48
      1       82       7
      2       82      13
      2       82      21
      0       82      24
      0       82      25
      2       82      26
      4       82      26
      7       82      26
      8       82      33
      3       82      34
      0       82      35
      2       82      37
      2       82      43
      1       82      45
      5       82      45
      2       82      46
      2       83       7
      5       83      17
      2       83      19
      1       83      23
      8       83      23
      0       83      24
      3       83      27
      2       83      30
      2       83      33
      4       83      33
      2       83      34
      4       83      34
      2       83      35
      7       83      35
      1       83      36
      5       83      36
      0       83      37
      2       83      43
      1       83      49
      5       83      49
      8       84       2
      0       84      17
      0       84      20
      2       84      27
      4       84      28
      7       84      28
      2       84      32
      4       84      32
      0       84      36
      0       84      38
      2       84      41
      0       84      45
      2       85       7
      0       85      11
      3       85      18
      2       85      21
      1       85      34
      0       85      35
      0       85      36
      0       85      40
      0       85      43
      0       85      44
      1       85      47
     3p       86       1
      3       86       1
      2       86       7
      0       86      12
      4       86      18
      0       86      19
      2       86      22
      4       86      22
      1       86      29
      5       86      29
      1       86      36
      1       86      37
      8       86      37
      2       86      38
      2       86      40
      2       86      41
      4       86      41
      0       86      42
      1       86      46
      5       86      46
